
LTL template,Sentence,LTL
F(a),Find the Bookstore,F ( Bookstore )
F(a),Go to Bookstore,F ( Bookstore )
F(a),Find the Science Library,F ( Science Library )
F(a),Go to Science Library,F ( Science Library )
F(a),Go to the Starbucks,F ( Starbucks )
F(a),Find the Starbucks,F ( Starbucks )
F(a),Go to the Chipotle,F ( Chipotle )
F(a),Find where is the Chipotle,F ( Chipotle )
F(a),Go to the Kabob and Curry,F ( Kabob and Curry )
F(a),Find the Kabob and Curry,F ( Kabob and Curry )
F(a),Find the CVS,F ( CVS )
F(a),Discover where is the CVS,F ( CVS )
F(a),Find the Citizen's Bank,F ( Citizen's Bank )
F(a),Go to the Citizen's Bank,F ( Citizen's Bank )
F(a),Find the Barus Building ,F ( Barus Building )
F(a),Go to the Barus Building,F ( Barus Building )
F(a),Find the FedEx Office,F ( FedEx Office )
F(a),Go to the FedEx Office,F ( FedEx Office )
F(a),Go to the Watson Center,F ( Watson Center ) 
F(a),Find the Watson Center,F ( Watson Center ) 
F(a),Go to the Nelson Fitness Center,F ( Nelson Fitness Center )
F(a),Find the Nelson Fitness Center,F ( Nelson Fitness Center )
F(a),Find the Marston Hall,F ( Marston Hall )
F(a),Go to find the Marston Hall,F ( Marston Hall )
F(a F(b)),Find the Bookstore and then find the Science Library,F ( Bookstore & F ( Science Library ) )
F(a F(b)),Find the Bookstore and then find the Starbucks,F ( Bookstore & F ( Starbucks ) )
F(a F(b)),Find the Bookstore and then find the Chipotle,F ( Bookstore & F ( Chipotle ) )
F(a F(b)),Find the Bookstore and then find the Kabob and Curry,F ( Bookstore & F ( Kabob and Curry ) )
F(a F(b)),Find the Bookstore and then find the CVS,F ( Bookstore & F ( CVS ) )
F(a F(b)),Find the Bookstore and then find the Citizen's Bank,F ( Bookstore & F ( Citizen's Bank ) )
F(a F(b)),Find the Bookstore and then find the Barus Building,F ( Bookstore & F ( Barus Building ) )
F(a F(b)),Find the Bookstore and then find the Watson Center,F ( Bookstore & F ( Watson Center ) )
F(a F(b)),Find the Bookstore and then find the Marston Hall,F ( Bookstore & F ( Marston Hall ) )
F(a F(b)),Find the Bookstore and then find the FedEx Office,F ( Bookstore & F ( FedEx Office ) )
F(a F(b)),Find the Bookstore and then find the Nelson Fitness Center,F ( Bookstore & F ( Nelson Fitness Center ) )
F(a F(b)),Find the Science Library and then find the Bookstore,F ( Science Library & F ( Bookstore ) )
F(a F(b)),Find the Science Library and then find the Starbucks,F ( Science Library & F ( Starbucks ) )
